id,name,kana,area,category,lat,lng,zoom,url,image,description,受入員数,所要時間,開催場所,電話番号,住所,営業時間,定休日,料金,アクセス,駐車場,ウェブサイト,オンライン予約,体験内容,最少催行人員,注意事項,駐車場：台数,駐車場：大型バスの駐車,駐車場：備考,受付期間,備考,メールアドレス,関連資料,決済方法,開催期間
detail_1082,瑞源寺,ずいげんじ,"あわら・坂井・福井市,福井市",歴史・文化体験,36.055573,136.198965,17,https://www.fuku-e.com/spot/detail_1082.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1082/1082_2_l.jpg,臨済宗妙心寺派に属する禅宗寺院。泰澄大師が天平宝字年間に、現鯖江市吉江に建立と伝わる。その後荒廃するも、江戸時代に入って第五代七代福井藩主松平吉品公が復興、現在地に移転。本堂、書院が福井城本丸御殿の遺構として、県の文化財に指定されている。9…,お問い合わせ下さい。,お問い合わせ下さい。,瑞源寺,瑞源寺 0776-35-1868,福井県福井市足羽5-10-17,9:00～17:00(本堂、書院内部)※外観はいつでも自由にご覧いただけます。,無休　※法要や行事中、あるいは住職不在時はご案内できません。あらかじめお電話でご連絡ください。(TEL0776-35-1868),拝観料:200円,JR福井駅よりすまいるバスにて足羽・照手方面行き「笏谷」下車徒歩3分。またはJR福井駅よりタクシー10分,あり,http://www.zuigenji.com/home/home.htm,https://www.jalan.net/kankou/spt_guide000000203304/,,,,,,,,,,,,
detail_1087,大安禅寺,だいあんぜんじ,"あわら・坂井・福井市,福井市",歴史・文化体験,36.102003,136.167816,14,https://www.fuku-e.com/spot/detail_1087.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1087/1087_3_l.jpg,万治元年(1658)に第4代福井藩主・松平光通が、当時の高僧・大愚禅師に帰依して建てた臨済宗妙心寺派の寺で、歴代福井藩主の菩提寺として知られ、現在も、当時そのままの姿をとどめています。数百点にもおよぶ文化財が保存され、本堂裏には門に葵の紋を配し、…,最大９０名（法話）,60分～120分（応相談）,"〒910-0044
福井県福井市田ノ谷町21-4
大安禅寺",大安禅寺 0776-59-1014,福井県福井市田ﾉ谷町21-4,9:00～17:00　(受付は16:30まで),無　※法話別,拝観料あり,JR福井駅前から鮎川線または川西・三国線京福バス「大安寺門前」下車徒歩15分/北陸自動車道福井北ICから車で25分,あり,"https://daianzenji.jp/reiwa/,https://fuku-iro.jp/fukuiromikke/daianzenji-2/,https://fuku-iro.jp/fukuiromikke/daianzenji/",https://www.jalan.net/kankou/spt_18201aj2200026026/,写経、座禅、法話など（応相談）,10人（10人以下応相談）,体験コースにより内容が異なります。詳細はホームページをご覧ください。,,,,,,,,,
detail_1095,越前二の宮 劔神社（剣神社）,えちぜんにのみや つるぎじんじゃ,"丹南,越前町",歴史・文化体験,35.957828,136.055395,16,https://www.fuku-e.com/spot/detail_1095.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1095/1095_2_l.jpg,劔神社は1161年に平清盛によって焼かれてしまいましたが、1164年に清盛の嫡男である平重盛が社殿を復興し、境内の小松建勲神社には平重盛が祀られています。劔神社は1800年の歴史を有する越前国の二の宮（一の宮は敦賀の気比神宮）であり、毎年多くの初詣客…,,"30分～60分
",,0778-36-0404,福井県越前町織田113-1,参拝自由／社務所　7:00～19:00,,,JR武生駅から福鉄バス越前海岸方面(織田経由)行き「明神前」下車すぐ/北陸自動車道武生または鯖江ICから車で30分,あり,https://www.tsurugi-jinja.jp/,,,,,"境内入り口：数台分
越前町織田文化歴史館：50台",隣接する「越前町織田文化歴史館」の駐車場をご利用ください,,,,,,,
detail_1192,はたや記念館　ゆめおーれ勝山,はたやきねんかんゆめおーれかつやま,"永平寺・奥越,勝山市","ものづくり体験,歴史・文化体験",36.0617763,136.5031408,16,https://www.fuku-e.com/spot/detail_1192.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1192/1192_3_l.jpg,はたや記念館「ゆめおーれ勝山」は、大人からこどもまで楽しめる織物ミュージアム。明治38年(1905年)から平成10年(1998年)まで勝山の中堅機業場として操業していた建物を保存・活用したもので、勝山市指定文化財、国の近代化遺産に認定されています。1階はま…,"(1)手織り体験 80人
(2)まゆ玉クラフト体験 80人
(3)麻糸コースター織り体験 数人","(1)手織り体験 30分程度
(2)まゆ玉クラフト体験 40分程度
(3)麻糸コースター織り体験 40～90分程度",,0779-87-1200　　FAX　0779-87-1221（はたや記念館　ゆめおーれ勝山）,福井県勝山市昭和町1-7-40,"9:00～17:00　
※カフェは10:00～19:00",水曜日(祝日の場合は翌日)、年末年始(12/29～1/2),"入館無料
手織体験　500円
まゆ玉クラフト体験　500円
麻糸コースター織り体験　700円",中部縦貫自動車道勝山ICから車で10分/えちぜん鉄道勝山駅からコミュニティバス等乗車～ゆめおーれ勝山前下車,あり,http://www.city.katsuyama.fukui.jp/hataya/,,"(1)手織り体験 500円
(2)まゆ玉クラフト体験 500円
(3)麻糸コースター織り体験 700円",,"予約受付時間:9:00～16:00
講師有
個人は、即受付。団体は電話受付※麻糸コースター織り体験は団体不可",30,,,,,,,,
detail_1275,スキージャム勝山,すきーじゃむかつやま,"永平寺・奥越,勝山市",バリアフリー,36.073368,136.555611,16,https://www.fuku-e.com/spot/detail_1275.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1275/1275_4_l.jpg,"スキージャム勝山は、勝山市の法恩寺山にある西日本最大級のスキー場です。平成5年(1993年)に開業し、初・中・上級全13コ-スのバラエティに富んだコースと、充実した設備のレストハウスや温泉があります。コース全長は、5,800メートルありロングクルージング…",,,,"東急リゾ-トサービス  スキージャム勝山
TEL:0779-87-6109",福井県勝山市170-70,"【ウインターシーズン】
12月中旬～4月上旬
【グリーンシーズン】
4月下旬～10月上旬",【ウインターシーズン】無休【グリーンシーズン】無休※11月はスキー場準備のため休業,"【ウインターシーズン】
リフト料金(1日券)
大人5,300円
シニア(50歳以上)4,700円
グランドシニア(60歳以上)4,200円
小学生3,400円
キンダー(3歳～未就学児)1,800円
ビギッズパーク1,000円(3歳未満無料)

【グリーンシーズン】
バーベキュー　1人前2800円～
ものづくり体験　1作品 1500円～
など",中部縦貫自動車道勝山ICから法恩寺山有料道路経由で車で20分,あり,http://www.skijam.jp/,,,,,3400,,"ウィンターシーズン駐車料金：1,000円(除雪協力金含む)
グリーンシーズン駐車料金：無料",,,,,,
detail_1450,シーパーク丹生,しーぱーくにゅう,"若狭路,美浜町",漁業体験・魚釣り,35.699186,135.9754,16,https://www.fuku-e.com/spot/detail_1450.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1450/1450_1_l.jpg,地元の定置網で獲れた魚を中心に生簀に放流しており、初心者から釣りマニアまで、気軽に釣りをお楽しみいただけます。中物釣りと小物釣りが中心で、大きな生簀でハマチやタイ、グレやアジなどを釣っていただけます。また、団体のお客様は事前予約(有料)によ…,,最大4時間,"シーパーク丹生
（福井県三方郡美浜町丹生）","シーパーク丹生
0770-39-1900",福井県美浜町丹生,"7:00～15:00
(受付は13:00まで)
※釣り時間は14:45まで","毎週木曜日(祝日の場合は翌平日)
冬季休業
※天候等により臨時休業の場合あり","小物釣り
2時間（上限10尾まで）/2,500円
4時間（上限20尾まで）/4,500円
※4時間は平日限定
中物釣り
3時間（上限２尾）/4,000円
大物釣り
上限1尾まで/4,000円
波止釣り
4時間
大人1000円
小学生以下500円",舞鶴若狭自動車道若狭美浜ICより車で約25分,,http://www1.kl.mmnet-ai.ne.jp/~nyu/seapark.html,,"魚釣り
（小物釣り、中物釣り、大物釣り、波止釣り）",,お問合せ先：0770-39-1900,,,,4月下旬～12月上旬,,,,,
detail_1451,新庄渓流の里,しんじょうけいりゅうのさと,"若狭路,美浜町",漁業体験・魚釣り,35.530976,135.979397,16,https://www.fuku-e.com/spot/detail_1451.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1451/1451_1_l.jpg,家族や友だちと一緒につかみ取り、釣りやバーベキューを楽しめます。初心者でも簡単に釣ることができ、釣った魚をその場で炭焼きで食べることもできます。新緑・紅葉、澄んだ水、あふれる太陽の下で日常を忘れてのんびりとしたひとときを過ごせます。新鮮な…,,"制限時間なし
（ちょい釣りは2時間まで）","渓流の里
（福井県三方郡美浜町新庄286-5-1）","渓流の里
0770-32-5580",福井県美浜町新庄286-5-1,"日の出から午後6:00
ただし冬期は日没まで",無休(食事処渓流苑は月曜定休),"渓流釣り入川券
一般4,000円
女性及び小人2,500円
ちょい釣り2,000円（2時間まで）
つかみどり(ニジマス1尾200円　アマゴ1尾300円　イワナ1尾300円)
貸し竿(1式300円)
えさ(500～700円)
バーベキュー(1区画8名様分2,000円　肉野菜セット(1人前)1,200円)",舞鶴若狭自動車道若狭美浜ICより車で約40分,あり,https://keiryunosato.jimdofree.com/,,渓流釣り、つかみどり,,ご予約・お問合せ：0770-32-5580,100,,,"日の出から午後6:00
（冬期は日没まで）",,,,,
detail_1452,ひるが海上釣堀,ひるがかいじょうつりぼり,"若狭路,美浜町",漁業体験・魚釣り,35.613876,135.895696,16,https://www.fuku-e.com/spot/detail_1452.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1452/1452_3_l.jpg,地元の漁業協同組合が営業する釣り堀です。定置網で獲れた魚を放流しており、鯛、ひらめ、はまち等を釣ることができます。釣り場は湾内沿岸にあるので、ファミリーなど、どなたでも安心して楽しむことができます。目の前には日本海が広がっており、釣りの合…,,3時間～,"ひるが海上釣堀
（福井県三方郡美浜町日向2-55）",美浜町漁業協同組合 0770-32-1146,福井県美浜町日向2-55,"7:00～15:00
※詳しくはお問い合わせください。","毎週水曜日
※祝日の場合は翌営業日が休園
※悪天候の場合、臨時休園あり
12月～3月の営業はお問合せください。",,舞鶴若狭自動車道若狭美浜ICより車で約25分,あり,https://blog.goo.ne.jp/hiruga-turi,,"魚釣り
（岸壁釣り、いかだ釣堀）",,お問合せ先：0770-32-1146,40,,,"3月下旬～12月下旬
7:00～15:00","入園料(3時間　えさ別　大人3,700円　小人2,600円)
えさ代500円～
いかだ釣掘(貸切予約制　1組5～9名（中学生以上）　1イケス50,000円～（予算に応じます。）)",,,,
detail_1454,フィッシングランド日向,ふぃっしんぐらんどひるが,"若狭路,美浜町",漁業体験・魚釣り,35.599723406481324,135.88695287704468,16,https://www.fuku-e.com/spot/detail_1454.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1454/1454_2_l.jpg,三方五湖の一つ日向湖にある釣り堀です。初級者から上級者まで幅広く楽しむことができ、また家族連れでも楽しむことができます。周辺には昔ながらの港町の風景が広がり、田舎の情緒をたっぷり味わうことができます。,,"～4時間
※コースによって変わります。","フィッシングランド日向
（福井県三方郡美浜町日向33-4）","フィッシングランド日向
0770-45-2929",福井県美浜町日向33-4,"上級コース：7:00～14:00
マニアコース：7:00～11:00
受付
上級コース6:30まで
マニアコース6:00まで
貸し切りコース5:30まで
※曜日、季節によって変更あり",2月～3月末までの営業はお問合せください。,"上級コース
12,000円
女性10,000円
小学生以下6,000円
マニアコース
6,000円
女性5,000円
小学生以下4,000円
貸し竿1,000円",舞鶴若狭自動車道若狭美浜ICより車で約30分,,https://fl-hiruga.com/,,"魚釣り
（上級コース、マニアコース）",,"完全予約制
お問合せ先：0770-45-2929",,,,3月～1月末,完全予約制,,,,
detail_1455,フィッシングレインボー,ふぃっしんぐれいんぼー,"若狭路,美浜町",漁業体験・魚釣り,35.603648,135.885582,16,https://www.fuku-e.com/spot/detail_1455.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1455/1455_2_l.jpg,三方五湖の一つ日向湖で、初心者から上級者まで気軽に釣りを楽しむことができます。釣りの合間に目に映る風景からは漁師町の風情を感じることができます。,,5時間半,"フィッシングレインボー
（福井県三方郡美浜町日向）","事務局
0770-45-2841
予約専用
090-3293-0427",福井県美浜町日向33-4,"3月中旬～4月中旬
第1部　 6:30～12:00
4月中旬～10月末
第1部　 6:00～11:30
第2部　 12:00～17:30
11月
第1部　 6:30～12:00
第2部　 12:30～17:00
12月～1月末
第1部　 7:00～12:30","毎週木曜日
2月～3月中旬
8月15日～16日
12月31日～1月3日","乗り合い個人利用料金
大人　12,000円
女性　10,000円 
子供　6,000円
釣り放題
釣り時間は約5時間半 
 
",舞鶴若狭自動車道若狭美浜ICより車で約30分,あり,http://www.fishing-r.com/,,魚釣り,,"完全予約制
お問合せ先：090-3293-0427
メール：f-rainbow@fishing-r.com
",40,,,3月中旬～1月末,完全予約制,,,,
